Distance,Speed,Driver
0,284,Hamilton
0.009697636,289,Hamilton
0.019395272,289,Hamilton
0.029160019,291,Hamilton
0.038924767,291,Hamilton
0.048857293,296,Hamilton
0.058823376,297,Hamilton
0.068823014,298,Hamilton
0.078889764,300,Hamilton
0.089057182,303,Hamilton
0.099325267,306,Hamilton
0.109626908,307,Hamilton
0.119928548,307,Hamilton
0.130330857,310,Hamilton
0.140733165,310,Hamilton
0.151135473,310,Hamilton
0.161537782,310,Hamilton
0.17194009,310,Hamilton
0.182510178,315,Hamilton
0.193080265,315,Hamilton
0.203683908,316,Hamilton
0.214287552,316,Hamilton
0.224891195,316,Hamilton
0.235494838,316,Hamilton
0.246199149,319,Hamilton
0.256937016,320,Hamilton
0.267674883,320,Hamilton
0.278412749,320,Hamilton
0.289150616,320,Hamilton
0.299888483,320,Hamilton
0.310760573,324,Hamilton
0.321666218,325,Hamilton
0.332538308,324,Hamilton
0.343443954,325,Hamilton
0.354383156,326,Hamilton
0.365322358,326,Hamilton
0.376261559,326,Hamilton
0.387234317,327,Hamilton
0.39824063,328,Hamilton
0.409213388,327,Hamilton
0.420051922,323,Hamilton
0.430622009,315,Hamilton
0.44092365,307,Hamilton
0.450956844,299,Hamilton
0.460721592,291,Hamilton
0.47031856,286,Hamilton
0.479647082,278,Hamilton
0.488505822,264,Hamilton
0.497230338,260,Hamilton
0.505954855,260,Hamilton
0.514679372,260,Hamilton
0.522799883,242,Hamilton
0.530819728,239,Hamilton
0.538705348,235,Hamilton
0.546590969,235,Hamilton
0.554174588,226,Hamilton
0.561456203,217,Hamilton
0.568637152,214,Hamilton
0.575683877,210,Hamilton
0.582596378,206,Hamilton
0.589273989,199,Hamilton
0.595817377,195,Hamilton
0.602226541,191,Hamilton
0.608602149,190,Hamilton
0.614675755,181,Hamilton
0.620615138,177,Hamilton
0.626386741,172,Hamilton
0.632024121,168,Hamilton
0.637560833,165,Hamilton
0.643097546,165,Hamilton
0.648198033,152,Hamilton
0.653164296,148,Hamilton
0.658029892,145,Hamilton
0.662694153,139,Hamilton
0.66722419,135,Hamilton
0.67165356,132,Hamilton
0.676015818,130,Hamilton
0.680277409,127,Hamilton
0.684371221,122,Hamilton
0.688330809,118,Hamilton
0.692256842,117,Hamilton
0.696115763,115,Hamilton
0.699907572,113,Hamilton
0.703699381,113,Hamilton
0.70749119,113,Hamilton
0.711215888,111,Hamilton
0.714907029,110,Hamilton
0.718463948,106,Hamilton
0.72198731,105,Hamilton
0.725443561,103,Hamilton
0.7288327,101,Hamilton
0.732221839,101,Hamilton
0.735476755,97,Hamilton
0.738698115,96,Hamilton
0.741953031,97,Hamilton
0.745241503,98,Hamilton
0.748597086,100,Hamilton
0.752086893,104,Hamilton
0.755643811,106,Hamilton
0.759267841,108,Hamilton
0.762958983,110,Hamilton
0.766750792,113,Hamilton
0.77071038,118,Hamilton
0.774602857,116,Hamilton
0.778461778,115,Hamilton
0.782186475,111,Hamilton
0.785844061,109,Hamilton
0.789501647,109,Hamilton
0.793159233,109,Hamilton
0.796816818,109,Hamilton
0.800273069,103,Hamilton
0.803527985,97,Hamilton
0.806682233,94,Hamilton
0.809836482,94,Hamilton
0.812923618,92,Hamilton
0.816010755,92,Hamilton
0.818896557,86,Hamilton
0.821815914,87,Hamilton
0.824802383,89,Hamilton
0.827822408,90,Hamilton
0.830842433,90,Hamilton
0.834030238,95,Hamilton
0.837251598,96,Hamilton
0.840540069,98,Hamilton
0.843929208,101,Hamilton
0.847385459,103,Hamilton
0.850975933,107,Hamilton
0.854667075,110,Hamilton
0.858458884,113,Hamilton
0.862485584,120,Hamilton
0.866646508,124,Hamilton
0.87097521,129,Hamilton
0.87540458,132,Hamilton
0.880135953,141,Hamilton
0.884967993,144,Hamilton
0.889967812,149,Hamilton
0.89513541,154,Hamilton
0.900638567,164,Hamilton
0.906275947,168,Hamilton
0.91204755,172,Hamilton
0.917953377,176,Hamilton
0.923993427,180,Hamilton
0.930268368,187,Hamilton
0.936643976,190,Hamilton
0.943153808,194,Hamilton
0.949764307,197,Hamilton
0.956374806,197,Hamilton
0.963052417,199,Hamilton
0.969730028,199,Hamilton
0.976843864,212,Hamilton
0.98412548,217,Hamilton
0.991507763,220,Hamilton
0.999091382,226,Hamilton
1.006775668,229,Hamilton
1.014527065,231,Hamilton
1.02237913,234,Hamilton
1.030398974,239,Hamilton
1.03848593,241,Hamilton
1.046673553,244,Hamilton
1.054861177,244,Hamilton
1.063183023,248,Hamilton
1.071672649,253,Hamilton
1.080229387,255,Hamilton
1.08881968,256,Hamilton
1.097544197,260,Hamilton
1.106369381,263,Hamilton
1.115194565,263,Hamilton
1.124086861,265,Hamilton
1.13311338,269,Hamilton
1.142173455,270,Hamilton
1.151300642,272,Hamilton
1.160461384,273,Hamilton
1.169722794,276,Hamilton
1.17901776,277,Hamilton
1.18827917,276,Hamilton
1.197708359,281,Hamilton
1.207171104,282,Hamilton
1.216633849,282,Hamilton
1.22613015,283,Hamilton
1.235660007,284,Hamilton
